,PID,LEGAL_TYPE,FOLIO,LAND_COORDINATE,ZONE_NAME,ZONE_CATEGORY,LOT,BLOCK,PLAN,DISTRICT_LOT,FROM_CIVIC_NUMBER,TO_CIVIC_NUMBER,STREET_NAME,PROPERTY_POSTAL_CODE,NARRATIVE_LEGAL_LINE1,NARRATIVE_LEGAL_LINE2,NARRATIVE_LEGAL_LINE3,NARRATIVE_LEGAL_LINE4,NARRATIVE_LEGAL_LINE5,CURRENT_LAND_VALUE,CURRENT_IMPROVEMENT_VALUE,TAX_ASSESSMENT_YEAR,PREVIOUS_LAND_VALUE,PREVIOUS_IMPROVEMENT_VALUE,YEAR_BUILT,BIG_IMPROVEMENT_YEAR,TAX_LEVY,NEIGHBOURHOOD_CODE
168339,015-251-675,LAND,650210520000,65021052,C-2C,Commercial,8,157,VAP486,264A,,748.0,BROADWAY E,V5T 1X9,LOT 8  BLOCK 157  PLAN VAP486  DIST,"RICT LOT 264A  NWD OF LOT A, & PL 1",771.,,,2656000.0,21400.0,2018.0,2113000.0,10000.0,1912.0,1965.0,,13
202928,014-787-202,LAND,275704470000,27570447,RS-1,One Family Dwelling,8,C,VAP1380,THSL,,4217.0,SLOCAN ST,V5R 1Z2,LOT 8  BLOCK C  SECTION 46  PLAN VA,P1380  DISTRICT LOT THSL  NWD PART ,S 1/2.,,,1342000.0,50900.0,2018.0,1353000.0,53100.0,1954.0,1965.0,,22
36482,028-799-038,STRATA,160595920167,16059592,CD-1 (415),Comprehensive Development,167,,BCS4387,541,1701,161.0,GEORGIA ST W,V6B 0K9,LOT 167  PLAN BCS4387  DISTRICT LOT," 541  NWD GROUP 1, TOGETHER WITH AN", INTEREST IN THE COMMON PROPERTY IN, PROPORTION TO THE UNIT ENTITLEMENT, OF THE STRATA LOT AS SHOWN ON FORM,502000.0,150000.0,2018.0,421000.0,150000.0,2012.0,2012.0,,26
117389,015-447-723,LAND,711222250000,71122225,RT-10,Two Family Dwelling,16,28,VAP340,391,,1125.0,26TH AVE E,V5V 2J8,LOT 16  BLOCK 28  PLAN VAP340  DIST,"RICT LOT 391  NWD GROUP 1, W 35 FT,"," EXC N 10 FT NOW LANE, OF LOT 1, & ",DL 392.,,1392000.0,35900.0,2018.0,1401000.0,37600.0,1930.0,1970.0,,19
141884,023-268-191,STRATA,308718950051,30871895,CD-1 (314),Comprehensive Development,51,,LMS2211,,501,5189.0,GASTON ST,V5R 6C7,LOT 51  PLAN LMS2211  NEW WESTMINST,"ER DISTRICT LOT 36 & 37, UNDIV 574/",159532 SHARE IN COM PROP THEREIN.,,,216000.0,156000.0,2018.0,125000.0,159000.0,1995.0,1995.0,,23
200563,013-543-504,STRATA,54809980023,5480998,RA-1,Limited Agricultural,23,,VAS2390,194,,7430.0,BALACLAVA ST,V6N 1M8,LOT 23  PLAN VAS2390  DISTRICT LOT ,194  NEW WESTMINSTER UNDIV 11/859 S,HARE IN COM PROP THEREIN.,,,16500.0,3100.0,2018.0,14200.0,3100.0,1800.0,1800.0,,6
48366,017-169-143,LAND,816042780000,81604278,RS-1,One Family Dwelling,3,,VAP23094,306,,3312.0,DEERING ISLAND PL,V6N 4H9,LOT 3  PLAN VAP23094  DISTRICT LOT ,306  NEW WESTMINSTER INCLUDES 3568S,F NFHC SHORELINE MAINTENANCE AGREEM,ENT.,,4048000.0,1283000.0,2018.0,3802000.0,1288000.0,1996.0,2002.0,,6
131285,029-025-192,STRATA,770270140291,77027014,CD-1 (487),Comprehensive Development,291,,EPS1133,393,712,4818.0,ELDORADO MEWS,V5R 0B3,LOT 291  PLAN EPS1133  DISTRICT LOT," 393  NWD GROUP 1, TOGETHER WITH AN", INTEREST IN THE COMMON PROPERTY IN, PROPORTION TO THE UNIT ENTITLEMENT, OF THE STRATA LOT AS SHOWN ON FORM,264000.0,176000.0,2018.0,167000.0,177000.0,2013.0,2013.0,,23
116075,011-573-180,LAND,701030710000,70103071,RS-5,One Family Dwelling,5,42,VAP4417,139,,,VACANT,V6S 1J9,LOT 5  BLOCK 42  PLAN VAP4417  DIST,RICT LOT 139  NEW WESTMINSTER SUBSI,DY LOT 2.,,,2518000.0,0.0,2018.0,2563000.0,0.0,,,,3
105024,010-092-030,LAND,301721870000,30172187,RS-1,One Family Dwelling,12,86&89,VAP4337,37,,5055.0,SPENCER ST,V5R 3Z9,LOT 12  BLOCK 86&89  PLAN VAP4337  ,DISTRICT LOT 37  NWD GROUP 1.,,,,1131000.0,26300.0,2018.0,1146000.0,27300.0,1939.0,1970.0,,23
